nodesxedge 165x305
0 15 100
0 90 100
0 1 100
1 16 95
1 91 95
1 2 95
2 17 90
2 92 90
2 3 90
3 18 85
3 93 85
3 4 85
4 19 80
4 94 80
4 5 80
5 20 75
5 95 75
5 6 75
6 21 70
6 96 70
6 7 70
7 22 65
7 97 65
7 8 65
8 23 60
8 98 60
8 9 60
9 24 55
9 99 55
9 10 55
10 25 50
10 100 50
10 11 50
11 26 45
11 101 45
11 12 45
12 27 40
12 102 40
12 13 40
13 28 35
13 103 35
13 14 35
14 29 30
14 104 30
15 30 95
15 16 100
16 31 95
16 17 95
17 32 95
17 18 90
18 33 95
18 19 85
19 34 95
19 20 80
20 35 95
20 21 75
21 36 95
21 22 70
22 37 95
22 23 65
23 38 95
23 24 60
24 39 95
24 25 55
25 40 95
25 26 50
26 41 95
26 27 45
27 42 95
27 28 40
28 43 95
28 29 35
29 44 95
30 45 90
30 31 100
31 46 90
31 32 95
32 47 90
32 33 90
33 48 90
33 34 85
34 49 90
34 35 80
35 50 90
35 36 75
36 51 90
36 37 70
37 52 90
37 38 65
38 53 90
38 39 60
39 54 90
39 40 55
40 55 90
40 41 50
41 56 90
41 42 45
42 57 90
42 43 40
43 58 90
43 44 35
44 59 90
45 60 85
45 46 100
46 61 85
46 47 95
47 62 85
47 48 90
48 63 85
48 49 85
49 64 85
49 50 80
50 65 85
50 51 75
51 66 85
51 52 70
52 67 85
52 53 65
53 68 85
53 54 60
54 69 85
54 55 55
55 70 85
55 56 50
56 71 85
56 57 45
57 72 85
57 58 40
58 73 85
58 59 35
59 74 85
60 75 80
60 61 100
61 76 80
61 62 95
62 77 80
62 63 90
63 78 80
63 64 85
64 79 80
64 65 80
65 80 80
65 66 75
66 81 80
66 67 70
67 82 80
67 68 65
68 83 80
68 69 60
69 84 80
69 70 55
70 85 80
70 71 50
71 86 80
71 72 45
72 87 80
72 73 40
73 88 80
73 74 35
74 89 80
75 76 100
76 77 95
77 78 90
78 79 85
79 80 80
80 81 75
81 82 70
82 83 65
83 84 60
84 85 55
85 86 50
86 87 45
87 88 40
88 89 35
90 105 95
90 91 95
91 106 95
91 92 95
92 107 95
92 93 95
93 108 95
93 94 95
94 109 95
94 95 95
95 110 95
95 96 95
96 111 95
96 97 95
97 112 95
97 98 95
98 113 95
98 99 95
99 114 95
99 100 95
100 115 95
100 101 95
101 116 95
101 102 95
102 117 95
102 103 95
103 118 95
103 104 95
104 119 95
105 120 90
105 106 90
106 121 90
106 107 90
107 122 90
107 108 90
108 123 90
108 109 90
109 124 90
109 110 90
110 125 90
110 111 90
111 126 90
111 112 90
112 127 90
112 113 90
113 128 90
113 114 90
114 129 90
114 115 90
115 130 90
115 116 90
116 131 90
116 117 90
117 132 90
117 118 90
118 133 90
118 119 90
119 134 90
120 135 85
120 121 85
121 136 85
121 122 85
122 137 85
122 123 85
123 138 85
123 124 85
124 139 85
124 125 85
125 140 85
125 126 85
126 141 85
126 127 85
127 142 85
127 128 85
128 143 85
128 129 85
129 144 85
129 130 85
130 145 85
130 131 85
131 146 85
131 132 85
132 147 85
132 133 85
133 148 85
133 134 85
134 149 85
135 150 80
135 136 80
136 151 80
136 137 80
137 152 80
137 138 80
138 153 80
138 139 80
139 154 80
139 140 80
140 155 80
140 141 80
141 156 80
141 142 80
142 157 80
142 143 80
143 158 80
143 144 80
144 159 80
144 145 80
145 160 80
145 146 80
146 161 80
146 147 80
147 162 80
147 148 80
148 163 80
148 149 80
149 164 80
150 151 75
151 152 75
152 153 75
153 154 75
154 155 75
155 156 75
156 157 75
157 158 75
158 159 75
159 160 75
160 161 75
161 162 75
162 163 75
163 164 75
